maand	dag	jaar_vanaf	jaar_tot	code_bisdom	prioriteit	soort_feest	naam_lang	naam_kort	liturgische_tijd	liturgische_kleur	code_eigen	code_gem	code_dag	paginanummers
D	9				130		Dinsdag in de 2e week door het jaar		d	g			609	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	10				130		Woensdag in de 2e week door het jaar		d	g			610	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	11				130		Donderdag in de 2e week door het jaar		d	g			611	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	12				130		Vrijdag in de 2e week door het jaar		d	g			612	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	13				130		Zaterdag in de 2e week door het jaar		d	g			613	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""588""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	13				120		Maria op zaterdag	Maria op zaterdag		w	599			[]
D	14				60		3e zondag door het jaar		d	g			614	"{""va"":{""a"":null,""b"":{""hy"":""onbekend"",""ag"":""589""}},""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""589""}},""mi"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""589""}},""av"":{""a"":null,""ps"":null,""np"":null,""b"":{""ag"":""589""}},""ds"":{""a"":""onbekend""}}"
D	15				130		Maandag in de 3e week door het jaar		d	g			615	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	16				130		Dinsdag in de 3e week door het jaar		d	g			616	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
D	17				130		Woensdag in de 3e week door het jaar		d	g			617	"{""ui"":{""an"":null},""lz"":{""ps"":null,""le"":""onbekend"",""l1"":""onbekend"",""l2"":""onbekend"",""ag"":""589""},""mo"":{""a"":null,""ps"":null,""np"":null},""mi"":{""a"":null,""ps"":null,""np"":null},""av"":{""a"":null,""ps"":null,""np"":null},""ds"":{""a"":""onbekend""}}"
